Specie;Plot;Quad;X_quad;Y_quad;Q_Yellow;X_yellow;Y_yellow;TAG ;status;X_10;Y_10;X;Y;alt;dia_x;dia_y;diam;OBS
;2;B;50;0;C4;30;20;no tag;Reprodutivo;8;4;88;24;6.3;5;5;78.5;
;2;B;50;0;D2;10;10;no tag;Jovem ;1;5;61;15;11.1;5.5;5.5;94.985;
;2;B;50;0;D2;10;10;no tag;Jovem ;2;5;62;15;13.6;5;5;78.5;
;2;B;50;0;D2;10;10;no tag;Jovem ;2;5;62;15;13.6;5;5;78.5;
;2;B;50;0;D2;10;10;no tag;Reprodutivo;8;2;68;12;1.5;7;5.5;120.89;
;2;B;50;0;D2;10;10;no tag;Reprodutivo;8;2;68;12;15.7;5;5;78.5;
;2;B;50;0;D2;10;10;no tag;Reprodutivo;1;8.5;61;18.5;8;7.8;7.4;181.2408;
;2;B;50;0;E1;0;0;no tag;Reprodutivo;1.5;8;51.5;8;9.5;7.2;6.2;140.1696;
;2;B;50;0;E2;10;0;no tag;Morreu;0;1;60;1;na;na;na;#VALOR!;
;2;B;50;0;E2;10;0;no tag;Morreu;0.5;2;60.5;2;na;na;na;#VALOR!;
;2;B;50;0;D3;20;10;no tag;Reprodutivo;5;7;75;17;18.1;17.9;16.7;938.6402;
;2;C;0;50;A2;0;10;2043;Morreu;5;8;5;68;na;na;na;#VALOR!;
;2;C;0;50;C1;20;0;no tag;Jovem ;4;0.5;24;50.5;15.5;9.2;9.7;280.2136;
;2;C;0;50;C2;20;10;2039;Reprodutivo;6.5;3;26.5;63;22.3;23.8;20.3;1517.0596;
;2;C;0;50;C2;20;10;2037;Reprodutivo;5;7;25;67;30.2;41.4;38.4;4991.8464;
;2;C;0;50;C2;20;10;no tag;Jovem ;2;9;22;69;11.2;5.2;5;81.64;
;2;C;0;50;C2;20;10;no tag;Morreu;2;9;22;69;na;na;na;#VALOR!;
;2;C;0;50;C3;20;20;2038;Reprodutivo;7;10;27;80;38.8;39.6;34.1;4240.1304;
;2;C;0;50;C3;20;20;no tag;Jovem ;1.5;8.5;21.5;78.5;12.4;5;5;78.5;
;2;C;0;50;C3;20;20;no tag;Jovem ;4;8.5;24;78.5;11.8;5;5;78.5;
;2;C;0;50;C3;20;20;no tag;Jovem ;4.5;8.5;24.5;78.5;21.4;5;5;78.5;
;2;C;0;50;C3;20;20;no tag;Jovem ;4.5;8.5;24.5;78.5;11.8;5;5;78.5;
;2;C;0;50;C3;20;20;no tag;Jovem ;5;8.5;25;78.5;11.8;5;5;78.5;
;2;C;0;50;D4;30;30;no tag;Reprodutivo;2.5;3.5;32.5;83.5;7.8;5;5;78.5;
;2;C;0;50;D4;30;30;no tag;Reprodutivo;4;3;34;83;12;5;5;78.5;
;2;C;0;50;D4;30;30;no tag;Jovem ;6;4;36;84;5;5;5;78.5;
;2;C;0;50;D4;30;30;no tag;Jovem ;8;4;38;84;5;5;5;78.5;
;2;C;0;50;E2;40;10;no tag;adulto ano passado;8;4;48;64;23.1;29;27.6;2513.256;
;2;D;50;50;A2;30;0;no tag;Jovem ;7.5;3;87.5;53;8.9;5;5;78.5;
;2;D;50;50;A2;30;0;no tag;Jovem ;7.5;3;87.5;53;8.9;5;5;78.5;
;2;D;50;50;A2;30;0;no tag;Jovem ;7.5;3;87.5;53;8.9;8;6.6;165.792;
;2;D;50;50;A3;20;0;no tag;Jovem ;5.5;2;75.5;52;5;5;5;78.5;
;2;D;50;50;A3;20;0;no tag;Reprodutivo;6;2;76;52;5;5;5;78.5;
;2;D;50;50;A3;20;0;no tag;Reprodutivo;6;1.5;76;51.5;5;5;5;78.5;
;2;D;50;50;A3;20;0;no tag;Reprodutivo;5;6;75;56;5;5;5;78.5;
;2;D;50;50;A5;0;0;no tag;Morreu;1;3;51;53;na;na;na;#VALOR!;
;2;D;50;50;A5;0;0;no tag;Reprodutivo;1;3;51;53;8.1;5;5;78.5;
;2;D;50;50;B2;30;10;no tag;adulto ano passado;6.5;7.5;86.5;67.5;34;19.1;12.3;737.6802;
;2;D;50;50;B5;0;10;no tag;Morreu;1;2;51;62;na;na;na;#VALOR!;
;2;D;50;50;B5;0;10;no tag;Reprodutivo;2;0.5;52;60.5;8.6;5.5;5.5;94.985;
;2;D;50;50;B5;0;10;no tag;Reprodutivo;3;0.5;53;60.5;8.7;5.7;5.9;105.5982;
;2;D;50;50;B5;0;10;no tag;Reprodutivo;3.5;0.5;53.5;60.5;12.3;5.5;5.5;94.985;
;2;D;50;50;B5;0;10;no tag;Reprodutivo;8;2;58;62;8.6;5.5;5.5;94.985;
;2;D;50;50;B5;0;10;no tag;Reprodutivo;8.5;5;58.5;65;11.7;5;5;78.5;
;2;D;50;50;B5;0;10;no tag;Morreu;8;5;58;65;na;na;na;#VALOR!;
;2;D;50;50;D1;40;30;no tag;Jovem ;6;2;96;82;19.4;5.9;6;111.156;
;2;D;50;50;D1;40;30;no tag;Jovem ;7;4;97;84;5;5;5;78.5;
;2;D;50;50;D4;10;30;2044;Jovem ;1;4.5;61;84.5;22.3;22.1;22.1;1533.6074;
;2;D;50;50;E3;20;40;no tag;adulto ano passado;0.5;4;70.5;94;22.5;34.9;39.3;4306.7298;
;2;D;50;50;E4;10;40;no tag;Jovem ;2;8;62;98;8.4;5;5;78.5;
;2;D;50;50;E4;10;40;no tag;Jovem ;2;8;62;98;8.4;5;5;78.5;
;2;D;50;50;E4;10;40;no tag;Jovem ;2;8;62;98;8.4;5;5;78.5;
;2;D;50;50;E4;10;40;no tag;Jovem ;2;8;62;98;8.4;5;5;78.5;
;3;A;0;0;D1;10;40;no tag;Jovem ;1.5;6;11.5;46;25.4;20.7;16.8;1091.9664;
;3;B;50;0;A3;20;40;2051;Esqueleto;3.5;8;73.5;48;29.7;30.8;24.7;2388.7864;
;3;B;50;0;A5;40;40;2050;Esqueleto;1;2.5;91;42.5;5;5;5;78.5;
;3;B;50;0;A5;40;40;2055;Jovem ;6;9;96;49;18.9;22.1;15.7;1089.4858;
;3;B;50;0;E4;30;0;2049;Reprodutivo;7;1.5;87;1.5;34.2;98.1;85.9;26460.1206;
;3;C;0;50;A2;0;10;2054;Morreu;7.5;9.5;7.5;69.5;na;na;na;#VALOR!;
;3;D;50;50;A3;20;0;2061;Morreu;9;2;79;52;na;na;na;#VALOR!;
;3;D;50;50;A3;20;0;2058;Esqueleto;1;5;71;55;20.2;28.6;41.1;3690.9444;
;3;D;50;50;B1;40;10;2056;Jovem ;9;1;99;61;25.3;29.4;42.6;3932.6616;
;3;D;50;50;B3;20;10;no tag;Reprodutivo;2;5;72;65;9.8;5;5;78.5;
;3;D;50;50;D3;20;30;2057;Reprodutivo;4.5;2;74.5;82;34.6;28.4;37.4;3335.1824;
;3;D;50;50;D4;10;30;no tag;Reprodutivo;7.5;5;67.5;85;12.7;5;5;78.5;
;3;D;50;50;D4;10;30;no tag;Reprodutivo;8;5;68;85;22.1;6.6;5.5;113.982;
;3;D;50;50;D4;10;30;no tag;Reprodutivo;8.5;5.5;68.5;85.5;13.4;5;5;78.5;
;3;D;50;50;D4;10;30;no tag;Reprodutivo;10;8;70;88;20.2;6.2;5.7;110.9676;
;3;D;50;50;E4;10;40;2059;viva;2;6;62;96;40.5;42.9;37.1;4997.5926;
;3;D;50;50;E5;0;40;2060;viva;5;5;55;95;32.8;77.8;115.7;28264.5844;
;3;A;0;0;A1;40;40;no tag;Jovem ;5;5;45;45;9.1;5.2;5;81.64;
;3;A;0;0;B4;30;10;no tag;Jovem ;9;9.5;39;19.5;6.4;6.8;9.2;196.4384;
;3;B;50;0;A5;40;40;no tag;Jovem ;3;5;93;45;6;5;5;78.5;
;3;B;50;0;B1;0;30;no tag;Jovem ;2;5.5;52;35.5;5;5;5;78.5;
;3;B;50;0;D5;40;10;no tag;Reprodutivo;1;5;91;15;21;11.5;17.7;639.147;
;3;B;50;0;E3;20;0;no tag;Jovem ;1.5;3.5;71.5;3.5;13.4;7.6;6.8;162.2752;
;3;B;50;0;E3;20;0;no tag;Jovem ;2;4;72;4;10.3;8.7;6.9;188.4942;
;3;C;0;50;E1;40;0;no tag;Jovem ;7;8;47;58;5;5;5;78.5;
;3;D;50;50;A3;20;0;no tag;Reprodutivo;1.5;3.5;71.5;53.5;6.8;5;5;78.5;
;4;A;0;0;A3;40;20;2093;Esqueleto;4.5;4;44.5;24;17.2;13.3;10.6;442.6772;
;4;A;0;0;C1;20;40;2095;Morreu;8;6;28;46;na;na;na;#VALOR!;
;4;A;0;0;E2;0;30;2098;Jovem ;10;1.5;10;31.5;25.9;44.7;52.5;7368.795;
;4;B;50;0;A2;10;40;2076;Reprodutivo;7.5;8.5;67.5;48.5;22.4;19.9;23.1;1443.4266;
;4;B;50;0;A4;30;40;2071;Reprodutivo;8;0.5;88;40.5;22.9;18.1;28.7;1631.1358;
;4;B;50;0;A4;30;40;2072;Reprodutivo;4.5;3;84.5;43;17.8;36.9;32.4;3754.0584;
;4;B;50;0;A5;40;40;no tag;Jovem ;1.5;8;91.5;48;13.9;8.2;6.9;177.6612;
;4;B;50;0;B2;10;30;2075;Morreu;0.5;5.5;60.5;35.5;na;na;na;#VALOR!;
;4;B;50;0;B2;10;30;2070;Reprodutivo;4.5;9;64.5;39;16.6;23.5;23.2;1711.928;
;4;B;50;0;C3;20;20;2069;Esqueleto;1;8.5;71;28.5;26.3;8.1;28.7;729.9558;
;4;B;50;0;C5;40;20;2073;Morreu;na;na;na;na;na;na;na;#VALOR!;
;4;B;50;0;C5;40;20;2074;viva;5.5;7.5;95.5;27.5;19;18.9;15.2;902.0592;
;4;B;50;0;D3;20;10;2067;Morreu;5;4.5;75;14.5;na;na;na;#VALOR!;
;4;B;50;0;D5;40;10;2068;Esqueleto;1.5;2.5;91.5;12.5;24.7;86.4;32;8681.472;
;4;B;50;0;E2;10;0;2066;Esqueleto;2.5;9;62.5;9;10;20.5;10.5;675.885;
;4;C;0;50;A1;0;0;2082;Reprodutivo;4;8;4;58;16.6;8.6;7.4;199.8296;
;4;C;0;50;A2;0;10;2083;Jovem ;2;4;2;64;14.6;21.9;31.7;2179.8822;
;4;C;0;50;A3;0;20;no tag;Jovem ;5.5;6;5.5;76;9.2;5.2;5;81.64;
;4;C;0;50;A4;0;30;2080;Esqueleto;6;5.5;6;85.5;22.5;11;14.9;514.646;
;4;C;0;50;A4;0;30;2081;Esqueleto;3;4;3;84;12.9;36.7;41.4;4770.8532;
;4;C;0;50;B2;10;10;2079;Esqueleto;4;7.5;14;67.5;25.7;67;49.9;10497.962;
;4;C;0;50;C3;20;20;2078;viva;9.5;1.5;29.5;71.5;8.4;8.1;9.7;246.7098;
;4;D;50;50;C4;10;20;2089;Esqueleto;2.5;9;62.5;79;20.2;5;5;78.5;
;4;C;0;50;E3;40;20;2077;Jovem ;8;1;48;71;12.9;5;8.8;138.16;
;4;D;50;50;A1;40;0;no tag;Jovem ;3;3;93;53;7.1;5;5;78.5;
;4;D;50;50;A4;10;0;2092;Reprodutivo;5;5;65;55;14.5;37.2;42;4905.936;
;4;D;50;50;C3;20;20;2087;Reprodutivo;10;9;80;79;30.5;41.8;41;5381.332;
;4;D;50;50;D1;40;30;2085;Reprodutivo;6.5;7;96.5;87;32.4;37.6;40.3;4757.9792;
;4;D;50;50;D3;20;30;2086;Reprodutivo;5;7.5;75;87.5;48.8;112.4;121.6;42917.0176;
;4;D;50;50;E1;40;40;2084;Reprodutivo;0;3;90;93;31;40.1;70;8813.98;
;4;D;50;50;E1;40;40;no tag;Jovem ;3;0.5;93;90.5;9.6;5;5;78.5;
;4;D;50;50;E1;40;40;no tag;Jovem ;3;0.5;93;90.5;9.6;5;5;78.5;
;4;D;50;50;E1;40;40;no tag;Jovem ;3;0.5;93;90.5;9.6;5;5;78.5;
;4;D;50;50;E1;40;40;no tag;Jovem ;3;0.5;93;90.5;9.6;5;5;78.5;
;4;D;50;50;E1;40;40;no tag;Jovem ;3;0.5;93;90.5;9.6;5;5;78.5;
;4;D;50;50;E1;40;40;no tag;Jovem ;4.5;2;94.5;92;6.8;5;5;78.5;
;4;D;50;50;E1;40;40;no tag;Jovem ;4.5;2;94.5;92;5;5;5;78.5;
;4;D;50;50;E1;40;40;no tag;Reprodutivo;4.5;2;94.5;92;14.2;7.1;7.2;160.5168;
;4;D;50;50;E4;10;40;no tag;Jovem ;3;7;63;97;5;5;5;78.5;
;4;D;50;50;E4;10;40;no tag;Morreu;3;7;63;97;na;na;na;#VALOR!;
;4;D;50;50;E5;0;40;no tag;Reprodutivo;9;7.5;59;97.5;8;5;5;78.5;
;4;D;50;50;E5;0;40;2088;Reprodutivo;8;5;58;95;32.9;32.4;51.9;5280.0984;
;4;B;50;0;A2;10;40;no tag;Jovem ;7;9.5;67;49.5;5;5;5;78.5;
;4;B;50;0;A2;10;40;no tag;Jovem ;7;9.5;67;49.5;5;5;5;78.5;
;4;B;50;0;A5;40;40;no tag;Jovem ;8;2;98;42;7.8;15.5;12;584.04;
;4;D;50;50;B4;10;10;no tag;Jovem ;6;8.5;66;68.5;5;5;5;78.5;
;4;D;50;50;E1;40;40;no tag;Reprodutivo;4.5;2;94.5;92;7.5;5;5;78.5;
;4;D;50;50;D4;10;30;no tag;Jovem ;9;9.5;69;89.5;5;5;5;78.5;
;4;D;50;50;D4;10;30;no tag;Jovem ;9;9.5;69;89.5;5;5;5;78.5;
;4;D;50;50;D4;10;30;no tag;Jovem ;9;9.5;69;89.5;5;5;5;78.5;
;5;A;0;0;A1;40;40;2118;Esqueleto;0.5;8;40.5;48;39;60.9;51.7;9886.3842;
;5;A;0;0;A1;40;40;2117;Esqueleto;6;1.5;46;41.5;28.2;47.7;40.9;6125.9202;
;5;A;0;0;A3;40;20;2116;Reprodutivo;8;4;48;24;526.5;35.5;43.8;4882.386;
;5;A;0;0;A5;40;0;2119;Esqueleto;1.5;0.5;41.5;0.5;27.3;46;55.5;8016.42;
;5;A;0;0;B1;30;40;2099;Morreu;8;0;38;40;na;na;na;#VALOR!;
;5;A;0;0;B1;30;40;no tag;Morreu;5.5;2;35.5;42;na;na;na;#VALOR!;
;5;A;0;0;B1;30;40;no tag;Reprodutivo;5.5;2;35.5;42;5.5;5;5;78.5;
;5;A;0;0;B3;30;20;2115;Morreu;0.5;0.5;30.5;20.5;na;na;na;#VALOR!;
;5;A;0;0;B5;30;0;2110;Reprodutivo;6;0.5;36;0.5;37;65.7;57.7;11903.3946;
;5;A;0;0;B5;30;0;2111;Morreu;9;0;39;0;na;na;na;#VALOR!;
;5;A;0;0;B5;30;0;2113/2114;Reprodutivo;2;5;32;5;37.5;62;29.1;5665.188;
;5;A;0;0;B5;30;0;no tag;Reprodutivo;9.5;2.5;39.5;2.5;18.2;5;5;78.5;
;5;A;0;0;C2;20;30;2100;Reprodutivo;2;8.5;22;38.5;15;11.1;9.1;317.1714;
;5;A;0;0;C4;20;10;2109;viva;4;9.5;24;19.5;31;21.5;22.7;1532.477;
;5;A;0;0;C5;20;0;2108;Reprodutivo;8;1;28;1;43.2;37;73.4;8527.612;
;5;A;0;0;D4;10;10;2104;Esqueleto;5;6.5;15;16.5;37.3;18.4;18.5;1068.856;
;5;A;0;0;D5;10;0;2107;Esqueleto;2;1;12;1;19.3;11;8.2;283.228;
;5;A;0;0;E2;0;30;2102;Morreu;4;5.5;4;35.5;15;7.1;6.8;151.5992;
;5;A;0;0;E3;0;20;2105;Morreu;6.5;7.5;6.5;27.5;na;na;na;#VALOR!;
;5;A;0;0;E3;0;20;2103;Esqueleto;1.5;6.5;1.5;26.5;26.9;9.6;5;150.72;
;5;A;0;0;E5;0;0;2106;Esqueleto;3;4.5;3;4.5;3;47.2;62.8;9307.4624;
;5;B;50;0;A4;30;40;no tag;Morreu;0;8;80;48;na;na;na;#VALOR!;
;5;B;50;0;B1;0;30;no tag;Reprodutivo;4;5;54;35;14.9;10.1;10;317.14;
;5;B;50;0;B4;30;30;no tag;Morreu;4.5;6.5;84.5;36.5;na;na;na;#VALOR!;
;5;B;50;0;B4;30;30;no tag;Jovem ;4.5;6.5;84.5;36.5;5;5;5;78.5;
;5;B;50;0;B4;30;30;no tag;Jovem ;4.5;6.5;84.5;36.5;5;5;5;78.5;
;5;B;50;0;C1;0;20;2121;Morreu;5.5;7;55.5;27;na;na;na;#VALOR!;
;5;B;50;0;D2;10;10;2124;Morreu;3;8.5;63;18.5;na;na;na;#VALOR!;
;5;B;50;0;D2;10;10;no tag;Reprodutivo;1;7;61;17;15.1;11.1;9.1;317.1714;
;5;B;50;0;D4;30;10;no tag;Morreu;6.5;9;86.5;19;na;na;na;#VALOR!;
;5;B;50;0;D5;40;10;2123;Esqueleto;5;3.5;95;13.5;29.2;26.7;23.8;1995.3444;
;5;B;50;0;E1;0;0;2120;Reprodutivo;6;0.5;56;0.5;36.6;23.3;30;2194.86;
;5;B;50;0;D3;20;10;2122;Esqueleto;1.5;6.5;71.5;16.5;28.3;42.1;54;7138.476;
;5;B;50;0;E5;40;0;no tag;Morreu;6;1.5;96;1.5;na;na;na;#VALOR!;
;5;C;0;50;A1;0;0;2132;Morreu;5;9;5;59;na;na;na;#VALOR!;
;5;C;0;50;A1;0;0;no tag;Reprodutivo;9;8;9;58;10.9;7.1;5;111.47;
;5;C;0;50;A1;0;0;no tag;Reprodutivo;9;8;9;58;10.9;7.1;5;111.47;
;5;C;0;50;A1;0;0;no tag;Reprodutivo;9;8;9;58;10.9;7.1;5;111.47;
;5;C;0;50;A1;0;0;no tag;Reprodutivo;9;8;9;58;10.9;7.1;5;111.47;
;5;C;0;50;A1;0;0;no tag;Reprodutivo;9;8;9;58;10.9;7.1;5;111.47;
;5;C;0;50;A1;0;0;no tag;Reprodutivo;9;8;9;58;10.9;7.1;5;111.47;
;5;C;0;50;A1;0;0;no tag;Reprodutivo;7;8;7;58;10.1;7;5;109.9;
;5;C;0;50;A2;0;10;2131;Morreu;10;4.5;10;64.5;na;na;na;#VALOR!;
;5;C;0;50;A2;0;10;2129;viva;7;10;7;70;47;64.7;79.5;16151.061;
;5;C;0;50;A4;0;30;no tag;Reprodutivo;9;6;9;86;9.3;5;5;78.5;
;5;C;0;50;A4;0;30;no tag;Reprodutivo;8;8;8;88;10.1;5;5;78.5;
;5;C;0;50;B4;10;30;2065;Morreu;6.5;8.5;16.5;88.5;na;na;na;#VALOR!;
;5;C;0;50;C1;20;0;2128;Reprodutivo;8;1;28;51;10.9;17.5;11.8;648.41;
;5;C;0;50;C1;20;0;no tag;Reprodutivo;6.5;4.5;26.5;54.5;7.4;5;5;78.5;
;5;C;0;50;C1;20;0;no tag;Jovem ;6.5;4.5;26.5;54.5;9.2;5.5;7;120.89;
;5;C;0;50;C2;20;10;2127;Esqueleto;1;7;21;67;12;10.4;8;261.248;
;5;C;0;50;C2;20;10;2130;Esqueleto;1;3;21;63;13.4;19.6;9.6;590.8224;
;5;C;0;50;C2;20;10;no tag;Reprodutivo;9;2;29;62;15.8;14;16.8;738.528;
;5;C;0;50;C3;20;20;no tag;Jovem ;7;10;27;80;5;5;5;78.5;
;5;C;0;50;C4;20;30;2126;Reprodutivo;9;9;29;89;16.1;13.6;9.3;397.1472;
;5;C;0;50;C4;20;30;no tag;Jovem ;8;1;28;81;11.4;5.5;5;86.35;
;5;C;0;50;C4;20;30;no tag;Jovem ;7;1.5;27;81.5;5.7;5;5;78.5;
;5;C;0;50;C5;20;40;2125;Reprodutivo;6.5;5.5;26.5;95.5;40.9;66.8;59.5;12480.244;
;5;C;0;50;D1;30;0;no tag;Reprodutivo;4;1;34;51;14.8;6.8;8.9;190.0328;
;5;C;0;50;D2;30;10;no tag;Reprodutivo;5.5;5;35.5;65;13.7;5.8;5.7;103.8084;
;5;C;0;50;D3;30;20;no tag;Reprodutivo;7.5;8;37.5;78;20.3;5;5;78.5;
;5;C;0;50;D3;30;20;no tag;Reprodutivo;7.5;8;37.5;78;20.3;5;5;78.5;
;5;C;0;50;D3;30;20;no tag;Jovem ;7.5;8;37.5;78;5;5;5;78.5;
;5;C;0;50;D3;30;20;no tag;Morreu;7.5;8;37.5;78;na;na;na;#VALOR!;
;5;C;0;50;E1;40;0;no tag;Jovem ;3;5;43;55;13.9;5;5;78.5;
;5;C;0;50;E3;40;20;no tag;Reprodutivo;3;4.5;43;74.5;17.6;7.3;6.5;148.993;
;5;C;0;50;E3;40;20;2133;Esqueleto;7.5;5;47.5;75;46.3;59.3;47.9;8919.0758;
;5;C;0;50;E5;40;40;no tag;Jovem ;1.4;4.5;41.4;94.5;13.9;5.8;8.5;154.802;
;5;C;0;50;E5;40;40;no tag;Jovem ;3;6;43;96;13;5;5;78.5;
;5;D;50;50;A1;40;0;2137;Morreu;5;6;95;56;na;na;na;#VALOR!;
;5;D;50;50;A1;40;0;no tag;Reprodutivo;1.5;3;91.5;53;14.8;5;5;78.5;
;5;D;50;50;A1;40;0;no tag;Reprodutivo;1.5;3;91.5;53;14.8;5;5;78.5;
;5;D;50;50;A1;40;0;no tag;Jovem ;1.5;3;91.5;53;5;5;5;78.5;
;5;D;50;50;A2;30;0;2140;Morreu;8;8;88;58;na;na;na;#VALOR!;
;5;D;50;50;B1;40;10;2138;Morreu;6;5;96;65;na;na;na;#VALOR!;
;5;D;50;50;C1;40;20;2136;Reprodutivo;5.5;2;95.5;72;24.2;21.7;20.4;1390.0152;
;5;D;50;50;C3;20;20;no tag;Reprodutivo;6;6.5;76;76.5;31.6;16.3;14.7;752.3754;
